"","id","phase","perf"
"1",1,"pre",2.88790487068956
"2",1,"post",5.95396450210334
"3",2,"pre",3.31174166282982
"4",2,"post",6.01410167828491
"5",3,"pre",3.02585754703219
"6",3,"post",6.34301299737666
"7",4,"pre",3.09218324119784
"8",4,"post",5.74698775307869
"9",5,"pre",2.86262942962129
"10",5,"post",5.91086760598001
"11",6,"pre",3.24481635948789
"12",6,"post",6.07196276541147
"13",7,"pre",3.08015429011881
"14",7,"post",6.02213654318902
"15",8,"pre",2.88883177304918
"16",8,"post",6.35738262736062
"17",9,"pre",3.09957009564585
"18",9,"post",5.60667656867407
"19",10,"pre",3.14027118031274
"20",10,"post",5.90544171845441
"21",11,"pre",2.78643525880263
"22",11,"post",5.95640501706834
"23",12,"pre",2.79479911033855
"24",12,"post",5.85422175414177
"25",13,"pre",2.87499214643015
"26",13,"post",5.66266133785152
"27",14,"pre",3.1675574088989
"28",14,"post",6.0306746235673
"29",15,"pre",2.77237261259761
"30",15,"post",6.25076298421398
"31",16,"pre",3.08529284429536
"32",16,"post",5.94098570340155
"33",17,"pre",3.179025132209
"34",17,"post",6.17562669750661
"35",18,"pre",3.1643162163275
"36",18,"post",6.13772805082002
"37",19,"pre",3.11078353070752
"38",19,"post",5.98761765788466
"39",20,"pre",2.93880746725202
"40",20,"post",5.92390579979752
"41",21,"pre",2.8610586042159
"42",21,"post",5.95841654439608
"43",22,"pre",2.74692072968635
"44",22,"post",6.4337911930677
"45",23,"pre",3.241592399661
"46",23,"post",5.77537828335933
"47",24,"pre",2.91942303294018
"48",24,"post",5.90666892927536
"49",25,"pre",3.15599302366726
"50",25,"post",5.98332618670563
"51",26,"pre",3.05066370279895
"52",26,"post",5.99429064893026
"53",27,"pre",2.99142590854174
"54",27,"post",6.27372045680289
"55",28,"pre",2.95484580286815
"56",28,"post",6.30329412088591
"57",29,"pre",2.69024943915396
"58",29,"post",6.11692274992721
"59",30,"pre",3.02477084876892
"60",30,"post",6.0431883137488
"61",31,"pre",3.07592789655198
"62",31,"post",5.89953530937814
"63",32,"pre",2.93335852326612
"64",32,"post",5.79628492337858
"65",33,"pre",2.78564175470488
"66",33,"post",6.06070572828085
"67",34,"pre",3.08964195572589
"68",34,"post",6.0106008453461
"69",35,"pre",3.18445349357595
"70",35,"post",6.41001693712543
"71",36,"pre",2.90179376678869
"72",36,"post",5.53816622487184
"73",37,"pre",3.20114770489245
"74",37,"post",5.85815984748352
"75",38,"pre",2.86239827670653
"76",38,"post",6.20511427393934
"77",39,"pre",2.9430453985898
"78",39,"post",5.75585645754909
"79",40,"pre",3.03626069594983
"80",40,"post",5.97222172751219
"81",41,"pre",3.00115283717998
"82",41,"post",6.07705608022527
"83",42,"pre",2.92586799364152
"84",42,"post",6.12887530970377
"85",43,"pre",2.95590268763625
"86",43,"post",6.06635639278314
"87",44,"pre",3.21936780262987
"88",44,"post",6.08703629816676
"89",45,"pre",2.93481368289375
"90",45,"post",6.22976152369022
"91",46,"pre",3.19870077119242
"92",46,"post",6.10967939190161
"93",47,"pre",3.04774634702229
"94",47,"post",5.87441878479213
"95",48,"pre",3.272130489706
"96",48,"post",5.87994808257057
